,State,County,lat,lon,# Droughts VWC (2 CAT/2wk)(Tuesdays),# Droughts VWC (2 CAT/4wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/2wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/4wk)(Tuesdays),Highest Month VWC (2 CAT/2wk)(Tuesdays),Highest Month VWC (2 CAT/4wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/2wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/4wk)(Tuesdays)
204,PA,Montgomery,40.209999,-75.370201,25,23,29,29,['April'],['September'],['May'],"['September', 'April', 'July']"
205,PA,Montour,41.029261,-76.665259,27,25,25,31,['April'],['March'],"['April', 'May']",['July']
206,PA,Northampton,40.752791,-75.307447,23,18,35,31,['April'],"['April', 'March']",['April'],['April']
207,PA,Northumberland,40.851524,-76.709877,21,22,21,28,['April'],['September'],['April'],['July']
208,PA,Perry,40.39778,-77.266328,23,22,35,26,['April'],"['September', 'April']",['April'],['May']
209,PA,Philadelphia,40.009376,-75.133346,25,23,35,26,['April'],"['March', 'September']","['April', 'May']","['May', 'September', 'April']"
210,PA,Pike,41.325949,-75.031514,29,27,62,45,['April'],['September'],['April'],['May']
211,PA,Potter,41.748222,-77.894735,25,23,43,53,['April'],['September'],"['April', 'May']",['July']
212,PA,Schuylkill,40.70369,-76.2178,16,15,36,24,"['April', 'September']",['September'],['April'],['May']
213,PA,Snyder,40.755348,-77.072954,21,18,54,37,['April'],['March'],['April'],"['April', 'July']"
214,PA,Somerset,39.981297,-79.028486,18,19,24,28,['May'],['September'],['May'],['May']
215,PA,Sullivan,41.43979,-76.511525,29,29,25,33,['April'],['September'],['April'],['July']
216,PA,Susquehanna,41.819665,-75.800969,27,27,30,33,['April'],"['March', 'September']",['April'],['June']
217,PA,Tioga,41.766859,-77.257288,20,19,26,30,['April'],['September'],['May'],"['March', 'July', 'September', 'May']"
218,PA,Union,40.962179,-77.055475,21,20,26,26,['April'],['September'],['May'],['July']
219,PA,Venango,41.40198,-79.754418,33,38,34,40,['April'],"['May', 'September']",['May'],['May']
220,PA,Warren,41.843669,-79.313173,32,31,38,38,['September'],['May'],['September'],['May']
221,PA,Washington,40.200005,-80.252132,18,15,23,24,['April'],['April'],['May'],['September']
222,PA,Wayne,41.646589,-75.292485,31,31,43,39,['April'],['September'],['April'],['July']
223,PA,Westmoreland,40.311068,-79.466688,27,29,32,38,['May'],['September'],['May'],['July']
224,PA,Wyoming,41.525137,-76.00878,21,18,30,29,['April'],['March'],['April'],"['March', 'July', 'April', 'May']"
225,PA,York,39.921839,-76.728446,23,17,33,29,['April'],"['September', 'March']",['April'],['July']
226,RI,Bristol ,41.705271,-71.285053,28,21,45,34,['April'],['September'],['April'],['April']
227,RI,Kent ,41.67775,-71.576314,28,20,46,32,['April'],['September'],"['May', 'April']",['April']
228,RI,Newport ,41.502732,-71.284063,23,18,45,30,['April'],"['March', 'September']",['April'],['April']
229,RI,Providence ,41.870488,-71.578242,25,17,48,34,['April'],['September'],['April'],['April']
230,RI,Washington ,41.401162,-71.617612,31,22,50,34,['April'],['September'],['April'],['April']
231,VT,Addison,44.031248,-73.141581,27,29,32,31,['September'],['April'],['May'],['April']
232,VT,Bennington,43.035325,-73.11146,29,26,64,49,['April'],['April'],['April'],['June']
233,VT,Caledonia,44.468791,-72.112168,24,22,59,55,['April'],['April'],"['May', 'April']","['July', 'April']"
234,VT,Chittenden,44.460676,-73.070525,26,26,23,31,['May'],['April'],"['April', 'July']","['July', 'August', 'April']"
235,VT,Essex,44.724021,-71.732736,33,27,54,48,['April'],['April'],['April'],['April']
236,VT,Franklin,44.858964,-72.909402,34,33,63,52,['May'],['April'],['May'],"['August', 'April']"
237,VT,Grand Isle,44.801788,-73.300758,21,21,25,33,['September'],['September'],"['May', 'April']",['April']
238,VT,Lamoille,44.603504,-72.638356,25,25,55,42,['April'],['April'],['May'],['April']
239,VT,Orange,44.003392,-72.369687,19,18,59,45,['April'],['September'],"['June', 'April']","['June', 'April']"
240,VT,Orleans,44.828442,-72.25163,30,34,47,42,['April'],['April'],['July'],['June']
241,VT,Rutland,43.580844,-73.038196,23,25,38,39,['April'],['April'],['May'],"['May', 'September', 'April']"
242,VT,Washington,44.274953,-72.609475,23,21,56,48,['April'],['April'],['May'],['April']
243,VT,Windham,42.999143,-72.716335,25,23,62,43,['April'],['April'],['May'],['June']
244,VT,Windsor,43.588143,-72.591515,21,20,56,45,['April'],['September'],['April'],"['April', 'June', 'July', 'September']"
245,WV,Barbour,39.139754,-79.996914,28,26,44,45,['April'],['April'],['May'],['June']
246,WV,Berkeley,39.457854,-78.032338,23,19,24,21,['April'],['March'],['May'],['March']
